version	doi	court_source	court_target	year_target	nr_citations
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2000"	17.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2001"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2002"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2003"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2004"	10.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2005"	12.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2006"	30.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2007"	24.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2008"	52.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2009"	49.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2010"	67.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2011"	188.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2012"	82.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2013"	124.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2014"	70.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2015"	86.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2016"	64.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2017"	83.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"2018"	69.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"FRA"	"BEL"	"1990"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"FRA"	"BEL"	"2016"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"1987"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"1991"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"1992"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"1993"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"1994"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"1995"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"1996"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"1997"	16.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"1998"	9.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2000"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2001"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2003"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2004"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2007"	47.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2008"	85.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2009"	154.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2010"	57.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2011"	126.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2012"	83.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2013"	216.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2014"	292.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2015"	298.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2016"	304.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2017"	229.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BEL"	"2018"	314.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"BUL"	"2015"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"BUL"	"2017"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"BUL"	"2018"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BUL"	"2006"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BUL"	"2010"	25.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BUL"	"2011"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BUL"	"2014"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BUL"	"2016"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"BUL"	"2018"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BUL"	"2008"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BUL"	"2017"	13.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BUL"	"2018"	21.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"FRA"	"BUL"	"2018"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HUN"	"BUL"	"1998"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"1994"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2000"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2005"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2006"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2007"	8.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2008"	14.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2009"	11.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2010"	11.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2011"	8.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2012"	31.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2013"	26.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2014"	25.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2015"	70.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2016"	45.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2017"	57.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2018"	68.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"CZE"	"2002"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"CZE"	"2009"	9.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"CZE"	"2012"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"CZE"	"2015"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"CZE"	"2016"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"CZE"	"2017"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"CZE"	"2009"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"CZE"	"2016"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"CZE"	"2017"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"1998"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"1999"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2000"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2001"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2002"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2003"	11.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2004"	35.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2005"	81.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2006"	74.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2007"	119.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2008"	130.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2009"	92.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2010"	173.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2011"	149.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2012"	125.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2013"	148.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2014"	307.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2015"	301.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2016"	555.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2017"	552.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"CZE"	"2018"	385.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2000"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2006"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2007"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2008"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2009"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2010"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2011"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2012"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2013"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2014"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2015"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2016"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2017"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"CZE"	"2018"	10.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"FRA"	"CZE"	"1999"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"FRA"	"CZE"	"2015"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HRV"	"CZE"	"2012"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HRV"	"CZE"	"2016"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HUN"	"CZE"	"2010"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"CZE"	"2010"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"CZE"	"2010"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"CZE"	"2009"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"CZE"	"2011"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"CZE"	"2016"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"POL"	"CZE"	"1996"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"POL"	"CZE"	"2005"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"POL"	"CZE"	"2011"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"POL"	"CZE"	"2012"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"POL"	"CZE"	"2014"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"PRT"	"CZE"	"2014"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ROU"	"CZE"	"2011"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SLV"	"CZE"	"2010"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SLV"	"CZE"	"2013"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SLV"	"CZE"	"2015"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVK"	"CZE"	"2005"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVK"	"CZE"	"2008"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVK"	"CZE"	"2010"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVK"	"CZE"	"2012"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVK"	"CZE"	"2013"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVK"	"CZE"	"2014"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVK"	"CZE"	"2016"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"DEU"	"1969"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"DEU"	"1975"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"DEU"	"1978"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"DEU"	"1996"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"DEU"	"2002"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"DEU"	"2003"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"DEU"	"2006"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"DEU"	"2008"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"DEU"	"2011"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"DEU"	"2017"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"CZE"	"DEU"	"2009"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"CZE"	"DEU"	"2014"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"CZE"	"DEU"	"2015"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"CZE"	"DEU"	"2016"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"1977"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"1984"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"1985"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"1987"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"1995"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"1997"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2000"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2001"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2002"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2003"	9.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2004"	29.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2005"	13.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2006"	33.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2007"	34.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2008"	25.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2009"	26.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2010"	35.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2011"	43.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2012"	50.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2013"	85.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2014"	63.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2015"	71.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2016"	79.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2017"	42.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"DEU"	"2018"	101.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1967"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1970"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1971"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1973"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1977"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1979"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1986"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1987"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1990"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1992"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1993"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1995"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1996"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1997"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1998"	11.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"1999"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2000"	8.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2001"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2002"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2003"	12.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2004"	18.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2005"	8.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2006"	23.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2007"	27.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2008"	79.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2009"	40.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2010"	58.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2011"	62.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2012"	13.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2013"	23.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2014"	62.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2015"	109.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2016"	125.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2017"	66.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"DEU"	"2018"	37.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ESP"	"DEU"	"2014"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ESP"	"DEU"	"2015"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ESP"	"DEU"	"2016"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"FRA"	"DEU"	"1975"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"FRA"	"DEU"	"2009"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"FRA"	"DEU"	"2012"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"FRA"	"DEU"	"2014"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"FRA"	"DEU"	"2015"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"FRA"	"DEU"	"2016"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"HUN"	"DEU"	"2008"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"DEU"	"1974"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"DEU"	"1977"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"DEU"	"1983"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"DEU"	"2008"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"DEU"	"2014"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"DEU"	"2015"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"DEU"	"2016"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"DEU"	"2014"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"DEU"	"2015"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"DEU"	"2016"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"POL"	"DEU"	"2014"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"POL"	"DEU"	"2015"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"POL"	"DEU"	"2016"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"UK"	"DEU"	"2015"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"UK"	"DEU"	"2016"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"1971"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"1986"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"1993"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"1995"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"1996"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"1997"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"1998"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"2000"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"2001"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"2002"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"2003"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"2005"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"2007"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ECHR"	"2008"	8.0
